Year,Quarter,Month,Full Date,Category,Sub Category,Customer Age Group,Customer Gender,Customer Country,Sales Territory,Revenue,Number Of Orders
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 40-49,M,USA,All,135944.2035,1360
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 40-49,F,USA,All,113493.0762,1135
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 50-59,M,USA,All,115839.5018,1159
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 50-59,F,USA,All,36991.43175,370
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 60 or above,M,USA,All,162405.1275,1625
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 60 or above,F,USA,All,96801.383,969
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 24 or less,M,USA,All,128490.978,1285
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 24 or less,F,USA,All,36113.6664,362
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 25-31,M,USA,All,306487.9881,3065
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 25-31,F,USA,All,297448.305,2975
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 32-39,M,USA,All,154805.217,1549
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 32-39,F,USA,All,199385.886,1994
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 40-49,M,USA,All,57094.1658,571
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 40-49,F,USA,All,89399.5452,894
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 50-59,M,USA,All,79003.19175,791
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 50-59,F,USA,All,173605.9868,1737
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 60 or above,M,USA,All,132459.747,1325
2015,2015-4,2015-11,11/6/2015,Books & Audible,All,Age 60 or above,F,USA,All,17080.931,171
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 24 or less,M,USA,All,81357.0912,814
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 24 or less,F,USA,All,78276.8322,783
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 25-31,M,USA,All,101207.9488,1013
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 25-31,F,USA,All,196610.4711,1967
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 32-39,M,USA,All,228873.148,2289
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 32-39,F,USA,All,242005.862,2421
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 40-49,M,USA,All,250912.557,2510
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 40-49,F,USA,All,149418.549,1495
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 50-59,M,USA,All,106288.9433,1063
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 50-59,F,USA,All,243538.7745,2436
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 60 or above,M,USA,All,78327.536,784
2015,2015-4,2015-11,11/7/2015,Books & Audible,All,Age 60 or above,F,USA,All,82824.5005,829
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 24 or less,M,USA,All,139938.1662,1400
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 24 or less,F,USA,All,123263.5656,1233
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 25-31,M,USA,All,189489.0627,1895
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 25-31,F,USA,All,243428.5385,2435
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 32-39,M,USA,All,86211.384,863
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 32-39,F,USA,All,273590.541,2736
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 40-49,M,USA,All,59594.5854,596
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 40-49,F,USA,All,231383.5461,2314
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 50-59,M,USA,All,37533.49425,376
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 50-59,F,USA,All,101111.0048,1012
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 60 or above,M,USA,All,74531.4955,746
2015,2015-4,2015-11,11/8/2015,Books & Audible,All,Age 60 or above,F,USA,All,107991.079,1080
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 24 or less,M,USA,All,178111.2438,1782
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 24 or less,F,USA,All,159730.0656,1598
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 25-31,M,USA,All,374248.1547,3743
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 25-31,F,USA,All,141223.2752,1413
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 32-39,M,USA,All,121522.044,1216
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 32-39,F,USA,All,300338.115,3004
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 40-49,M,USA,All,75604.5297,757
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 40-49,F,USA,All,1493.2827,15
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 50-59,M,USA,All,175192.5158,1752
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 50-59,F,USA,All,3586.2855,36
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 60 or above,M,USA,All,145159.9695,1452
2015,2015-4,2015-11,11/9/2015,Books & Audible,All,Age 60 or above,F,USA,All,48728.5855,488
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 24 or less,M,USA,All,108287.193,1083
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 24 or less,F,USA,All,64625.1816,647
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 25-31,M,USA,All,155587.1961,1556
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 25-31,F,USA,All,242111.7517,2422
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 32-39,M,USA,All,328924.995,3290
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 32-39,F,USA,All,171049.375,1711
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 40-49,M,USA,All,106335.7596,1064
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 40-49,F,USA,All,204154.4358,2042
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 50-59,M,USA,All,216717.921,2168
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 50-59,F,USA,All,95140.31625,952
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 60 or above,M,USA,All,79820.202,799
2015,2015-4,2015-11,11/10/2015,Books & Audible,All,Age 60 or above,F,USA,All,95391.912,954
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 24 or less,M,USA,All,45712.821,458
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 24 or less,F,USA,All,131427.996,1315
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 25-31,M,USA,All,19442.2312,195
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 25-31,F,USA,All,85959.0109,860
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 32-39,M,USA,All,10718.47,108
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 32-39,F,USA,All,313852.63,3139
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 40-49,M,USA,All,67814.6868,679
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 40-49,F,USA,All,210849.2946,2109
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 50-59,M,USA,All,5575.7625,56
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 50-59,F,USA,All,66216.612,663
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 60 or above,M,USA,All,70314.4015,704
2015,2015-4,2015-11,11/11/2015,Books & Audible,All,Age 60 or above,F,USA,All,143375.8445,1434
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 24 or less,M,USA,All,34149.0114,342
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 24 or less,F,USA,All,171494.2488,1715
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 25-31,M,USA,All,16135.6615,162
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 25-31,F,USA,All,224200.6788,2243
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 32-39,M,USA,All,179509.596,1796
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 32-39,F,USA,All,49164.073,492
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 40-49,M,USA,All,146832.0777,1469
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 40-49,F,USA,All,295758.5778,2958
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 50-59,M,USA,All,44830.1805,449
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 50-59,F,USA,All,83237.22225,833
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 60 or above,M,USA,All,163621.0345,1637
2015,2015-4,2015-11,11/12/2015,Books & Audible,All,Age 60 or above,F,USA,All,60851.7245,609
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 24 or less,M,USA,All,142034.844,1421
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 24 or less,F,USA,All,143280.0264,1433
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 25-31,M,USA,All,58539.9381,586
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 25-31,F,USA,All,191223.8458,1913
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 32-39,M,USA,All,63068.81,631
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 32-39,F,USA,All,166572.14,1666
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 40-49,M,USA,All,16754.2074,168
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 40-49,F,USA,All,48534.3873,486
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 50-59,M,USA,All,37360.1025,374
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 50-59,F,USA,All,136382.6363,1364
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 60 or above,M,USA,All,6993.406,70
2015,2015-4,2015-11,11/13/2015,Books & Audible,All,Age 60 or above,F,USA,All,116289.1695,1163
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 24 or less,M,USA,All,330998.677,3310
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 24 or less,F,USA,All,322534.1559,3226
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 25-31,M,USA,All,11636.82723,117
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 25-31,F,USA,All,327849.7366,3279
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 32-39,M,USA,All,240609.6706,2407
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 32-39,F,USA,All,250364.4122,2504
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 40-49,M,USA,All,157225.1948,1573
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 40-49,F,USA,All,85875.45019,859
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 50-59,M,USA,All,360428.8796,3605
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 50-59,F,USA,All,337414.492,3375
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 60 or above,M,USA,All,303983.7912,3040
2015,2015-4,2015-11,11/14/2015,Books & Audible,All,Age 60 or above,F,USA,All,18714.61508,188
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 24 or less,M,USA,All,75687.57638,757
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 24 or less,F,USA,All,147384.2051,1474
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 25-31,M,USA,All,431438.9965,4315
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 25-31,F,USA,All,138839.4892,1389
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 32-39,M,USA,All,594243.3703,5943
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 32-39,F,USA,All,234905.4708,2350
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 40-49,M,USA,All,298285.2646,2983
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 40-49,F,USA,All,250948.5645,2510
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 50-59,M,USA,All,446329.0896,4464
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 50-59,F,USA,All,28322.77224,284
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 60 or above,M,USA,All,199720.1466,1998
2015,2015-4,2015-11,11/15/2015,Books & Audible,All,Age 60 or above,F,USA,All,184980.977,1850
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 24 or less,M,USA,All,38617.81846,387
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 24 or less,F,USA,All,164260.1261,1643
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 25-31,M,USA,All,711219.999,7113
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 25-31,F,USA,All,381148.3413,3812
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 32-39,M,USA,All,634237.6779,6343
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 32-39,F,USA,All,12769.57444,128
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 40-49,M,USA,All,173188.8867,1732
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 40-49,F,USA,All,345405.4672,3455
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 50-59,M,USA,All,15345.64164,154
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 50-59,F,USA,All,85509.2826,856
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 60 or above,M,USA,All,296828.0977,2969
2015,2015-4,2015-11,11/16/2015,Books & Audible,All,Age 60 or above,F,USA,All,174020.5561,1741
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 24 or less,M,USA,All,90713.86878,908
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 24 or less,F,USA,All,46001.00212,461
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 25-31,M,USA,All,668858.1498,6689
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 25-31,F,USA,All,587979.5986,5880
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 32-39,M,USA,All,89460.93401,895
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 32-39,F,USA,All,496918.3512,4970
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 40-49,M,USA,All,135012.2175,1351
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 40-49,F,USA,All,98361.9019,984
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 50-59,M,USA,All,510210.6682,5103
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 50-59,F,USA,All,56003.29331,561
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 60 or above,M,USA,All,53654.7,537
2015,2015-4,2015-11,11/17/2015,Books & Audible,All,Age 60 or above,F,USA,All,26222.31405,263
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 24 or less,M,USA,All,193498.8154,1935
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 24 or less,F,USA,All,237518.4887,2376
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 25-31,M,USA,All,209234.188,2093
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 25-31,F,USA,All,395638.9512,3957
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 32-39,M,USA,All,23874.2406,239
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 32-39,F,USA,All,339634.484,3397
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 40-49,M,USA,All,74245.63457,743
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 40-49,F,USA,All,191390.5673,1914
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 50-59,M,USA,All,263809.5972,2639
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 50-59,F,USA,All,114685.5383,1147
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 60 or above,M,USA,All,38190.50494,382
2015,2015-4,2015-11,11/18/2015,Books & Audible,All,Age 60 or above,F,USA,All,217806.9002,2179
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 24 or less,M,USA,All,80136.30559,802
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 24 or less,F,USA,All,316660.4839,3167
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 25-31,M,USA,All,398094.2447,3981
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 25-31,F,USA,All,529100.6511,5292
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 32-39,M,USA,All,182429.3794,1825
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 32-39,F,USA,All,364871.7517,3649
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 40-49,M,USA,All,331628.6802,3317
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 40-49,F,USA,All,485119.6915,4852
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 50-59,M,USA,All,73295.65971,733
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 50-59,F,USA,All,320996.9102,3210
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 60 or above,M,USA,All,111383.9747,1114
2015,2015-4,2015-11,11/19/2015,Books & Audible,All,Age 60 or above,F,USA,All,31913.11788,320
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 24 or less,M,USA,All,71559.83755,716
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 24 or less,F,USA,All,141384.1225,1414
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 25-31,M,USA,All,367055.6842,3671
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 25-31,F,USA,All,462400.9548,4625
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 32-39,M,USA,All,357250.8131,3573
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 32-39,F,USA,All,497699.7228,4977
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 40-49,M,USA,All,56089.06128,561
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 40-49,F,USA,All,72948.97109,730
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 50-59,M,USA,All,289219.0235,2893
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 50-59,F,USA,All,120239.9774,1203
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 60 or above,M,USA,All,70173.56052,702
2015,2015-4,2015-11,11/20/2015,Books & Audible,All,Age 60 or above,F,USA,All,276046.3931,2761
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 24 or less,M,USA,All,183425.0838,1835
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 24 or less,F,USA,All,191079.4368,1911
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 25-31,M,USA,All,72579.7982,726
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 25-31,F,USA,All,166617.8535,1667
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 32-39,M,USA,All,57423.52,575
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 32-39,F,USA,All,317570.106,3176
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 40-49,M,USA,All,259272.1026,2593
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 40-49,F,USA,All,38030.8635,381
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 50-59,M,USA,All,2072.385,21
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 50-59,F,USA,All,84868.74375,849
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 60 or above,M,USA,All,96259.2785,963
2015,2015-4,2015-11,11/21/2015,Books & Audible,All,Age 60 or above,F,USA,All,42783.762,428
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 24 or less,M,USA,All,140550.6354,1406
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 24 or less,F,USA,All,94122.5754,942
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 25-31,M,USA,All,386.3678,4
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 25-31,F,USA,All,131681.3929,1317
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 32-39,M,USA,All,36444.023,365
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 32-39,F,USA,All,15581.405,156
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 40-49,M,USA,All,230854.2075,2309
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 40-49,F,USA,All,95930.0055,960
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 50-59,M,USA,All,153159.3263,1532
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 50-59,F,USA,All,202568.2995,2026
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 60 or above,M,USA,All,160713.5775,1608
2015,2015-4,2015-11,11/22/2015,Books & Audible,All,Age 60 or above,F,USA,All,64364.7445,644
2015,2015-4,2015-11,11/23/2015,Books & Audible,All,Age 24 or less,M,USA,All,172939.3302,1730
2015,2015-4,2015-11,11/23/2015,Books & Audible,All,Age 24 or less,F,USA,All,83002.0548,831
2015,2015-4,2015-11,11/23/2015,Books & Audible,All,Age 25-31,M,USA,All,139622.9996,1397
2015,2015-4,2015-11,11/23/2015,Books & Audible,All,Age 25-31,F,USA,All,279934.8538,2800
